created_at	text	user_id
6/1/14 23:07	President Resigns in Georgia’s Breakaway Region of Abkhazia http://t.co/DAploRvCvV	nytimes
6/1/14 23:48	The NYT FlipBoard guide to understanding climate change and its consequences http://t.co/uPGTuYiSmQ	nytimes
6/1/14 23:59	"For all the struggles that young college grads face, a four-year degree has probably never been more valuable http://t.co/Gjf6wrwMsS"	nytimes
6/1/14 23:35	It's better to be a community-college graduate than a college dropout http://t.co/k3CO7ClmIG	nytimes
6/1/14 22:47	Share your experience with Veterans Affairs health care http://t.co/PrDhLC20Bt	nytimes
6/1/14 22:03	"Abandon Hope, Almost All Ye Who Enter the N.B.A. Playoffs http://t.co/IQAJ5XNddR"	nytimes
6/1/14 22:19	Books Of the Times: ‘Do Fathers Matter?’ Shows Why They Do http://t.co/1vLBAP6k7P	nytimes
6/1/14 22:15	How online dating explains the truth about the digital economy http://t.co/mXOWT2geGB	nytimes
6/1/14 21:43	"San Francisco's tech firms aren't moving into new buildings, they're taking over old ones http://t.co/tB9u98diqu"	nytimes
6/1/14 21:06	Freed Soldier Faces Long Struggle Back to Normalcy http://t.co/R8IG4lyR3F	nytimes
6/1/14 21:31	Breaking up with his cable company's bundles http://t.co/qyft5nnLgU	nytimes
6/1/14 21:16	E.P.A. to Seek 30 Percent Cut in Carbon Emissions http://t.co/mY3ilYlxrj	nytimes
6/1/14 20:18	"Lewis Katz, Co-Owner of Philadelphia Inquirer, Dies at 72 http://t.co/051ArIn1xc"	nytimes
6/1/14 20:53	Administration Defends Swap With Taliban to Free U.S. Soldier http://t.co/p045IqfOAJ	nytimes
6/1/14 20:07	"If Mayor Bill de Blasio has his way, ferrets could be legal again in New York City http://t.co/cfCADr6UNv"	nytimes
6/1/14 20:45	The blurry line between procrastination and homework when you're studying for a master's in video games http://t.co/HENV0sxaNI	nytimes
6/1/14 19:16	"As Ties With China Unravel, U.S. Companies Head to Mexico http://t.co/7n95OYNsMV"	nytimes
6/1/14 19:01	"‘Maleficent’ Casts Spell, Burying ‘Ways to Die’ http://t.co/k9p7wxRDCe"	nytimes
6/1/14 19:40	DealBook: Authorities Find Insider Trading Case Tied to Phil Mickelson Is Slow to Take Shape http://t.co/6atu3fS1HX	nytimes
6/1/14 19:26	Damon Lindelof Promises You His New Show Won’t End Like ‘Lost’ http://t.co/PQI9eYm3cK	nytimes
6/1/14 19:48	Six Climbers Are Missing on Mount Rainier http://t.co/YvoUqD6WkW	nytimes
6/1/14 18:29	Soylent is the most joyless new technology to hit the world since we first laid eyes on MS-DOS http://t.co/peqmYzAagQ	nytimes
6/1/14 18:45	Google's newest driverless car has no steering wheel or gas pedal and only 2 buttons: start and panic http://t.co/sKvstTylb3	nytimes
6/1/14 18:18	A Wisconsin City Split Over the Mixture of Church and Sausage http://t.co/RYOL9AWwmA	nytimes
6/1/14 18:04	A few options for shoppers who want to know whether they're purchasing G.M.O. foods http://t.co/auSKW0Od5A	nytimes
6/1/14 17:53	Federer Ousted at French Open http://t.co/wn738ggCqe	nytimes
6/1/14 17:17	3 Kidnapped Missionaries Are Freed in Cameroon http://t.co/bTknOdzWpC	nytimes
6/1/14 17:10	"After 5 Months of Sales, Colorado Sees the Downside of a Legal High http://t.co/uvpxamBRly"	nytimes
6/1/14 17:51	"Business School, Disrupted http://t.co/vhMLkWHyZ8"	nytimes
6/1/14 17:14	An extension of the NYC subway was supposed to be finished by now. Here's what's holding it up http://t.co/a3grBLXR9W http://t.co/g4GVEL7J3V	nytimes
6/1/14 17:31	"Jimmy Iovine, a Master of Beats, Lends Apple a Skilled Ear http://t.co/9xaY7l3Q7J"	nytimes
6/1/14 17:27	Bob Mankoff’s ‘How About Never — Is Never Good for You?’ http://t.co/jzP1MqUBju	nytimes
6/1/14 16:24	The turbulent history of putting a price tag on carbon emissions http://t.co/6sLZlsCV94 http://t.co/XTDpsGEHmW	nytimes
6/1/14 16:15	DealBook: Mexico Issues Arrest Warrants in Banamex Fraud Inquiry http://t.co/D4vYhz9GJs	nytimes
6/1/14 16:09	"Early Chemotherapy Extends Lives of Men With Prostate Cancer, Study Finds http://t.co/Lf4XALJf5e"	nytimes
6/1/14 16:44	"The Smutty-Metaphor Queen of Lawrence, Kansas http://t.co/0QIK3IIXQS"	nytimes
6/1/14 15:45	Timeline: 15 years of warnings on V.A. wait times http://t.co/jHQj7oczYc	nytimes
6/1/14 15:01	Life in the valley of death http://t.co/eRMBvfeGDK	nytimes
6/1/14 15:14	Everything You Need to Know About Thomas Piketty vs. The Financial Times http://t.co/37jOfbQ50K	nytimes
6/1/14 15:57	Jenny Slate in Gillian Robespierre’s ‘Obvious Child’ http://t.co/DJywSfKS6L	nytimes
6/1/14 15:27	Senate Democrats hope that focusing on local issues will save them in midterm elections http://t.co/qBRs8e7M5H	nytimes
6/1/14 14:15	How Old Is Too Old for President? Depends Who's Running http://t.co/sHzcFFTfDw	nytimes
